用户名称,评论时间,评论内容
花月_康乃馨,昨天14:12,有家回真的挺好的
难忘我_,昨天14:08,加油
MAYER_69,昨天14:01,在五年以后我能娶到一个叫胡泽瑾的女孩，看到这条评论的都有喜糖
赵嘉乐com,昨天13:57,天黑了，快回来吧！！！
赴新约_,昨天13:47,被爱不一定要漂亮 漂亮的不会缺爱人
明月与日光,昨天12:57,逼自己听你喜欢的歌 也没办法听到自己喜欢 就像两个没缘分的人 短暂的相遇过后终究不会再有交集 就当遇见你 是我在异乡的一场梦
唐啊姗呀,昨天12:55,63哦8188800112.
小芳呢呢呢,昨天12:41,能做到这些的男孩，你身边的女孩还在吗？
那天下着小雨_yt,昨天12:26,来自湖南，祝周海波生日快乐
钰弟w,昨天12:07,喜欢的前提是漂亮爱不一定但爱大多从喜欢开始
嗯嗯_KG,昨天12:01,和那个什么旋律很像
小许小何,昨天10:44,早上7.24
1有想我嗎,昨天09:46,希望考上第三中学
1有想我嗎,昨天09:46,恭喜
GY吴彦祖1911,昨天08:08,可是她比我大五岁啊 有人陪她长大了 可是我她没那么多五年来陪我长大呀
小许小何,昨天07:24,不说大话，一年之后如果还在一起就可以，现在是2022.3.17星期四，-11°，2023年我会回来看的
小许小何,昨天07:17,来自河北，祝周海波生日快乐
夏天必吃火锅,昨天06:10,恭喜
谦崽之爱,昨天04:15,哈哈哈同病相怜了属实是
is-懒癌患者,昨天02:22,一不小心又熬夜了
很爱游宝学长,昨天02:12,时间会让你知道我有多爱你
笑于心酸im,昨天01:06,困了，睡觉了
木木_FMY,昨天01:03,"只要用力呼吸，
就能看见奇迹。
就像我，
一直在努力，
每天都在等你，
尽管漫长无期。"
汉台第一深情,昨天01:00,被爱的前提到底是什么
雯小珺,昨天00:05,我在广西省祝娜娜米生日快乐，愿你成为自己的太阳，活成自己曾经渴望的模样。
庸俗透彻,昨天00:04,我在河南省祝mzh新年快乐，平平安安。
庸俗透彻,昨天00:03,我从没当过逃兵，但是从来没有人给我举过爱旗。
白马_1,昨天00:02,你好
白马_1,昨天00:02,找我谈个恋爱。。
庸俗透彻,3月16日 23:59,被爱的前提是你要成为，你喜欢的那个男孩子的心中的样子。
允婕912,3月16日 23:58,提醒一下 我单身
淅懿,3月16日 23:46,祝你
腿毛怪姐姐i,3月16日 23:40,我好累啊
硕哥的脸蛋天才A,3月16日 23:35,天黑了记得回家，可惜家里没有他
888888_fa,3月16日 23:34,我只是做过跟你前任男朋友做过一样的事而已，你也只是把他的影子放在了我身上而已
南城外的微笑,3月16日 23:29,来自西藏 祝周海波生日快乐
窝在云村晚抑云,3月16日 23:23,谢谢[多多大笑]
窝在云村晚抑云,3月16日 23:23,谢谢[多多大笑]
窝在云村晚抑云,3月16日 23:20,谢谢[多多大笑]
rr亚rr,3月16日 23:17,等我在爱的歌里跟你表白一百次我就告诉你我喜欢你
南风过境_Rahe,3月16日 22:47,娶俸应仙回家 四年后再回来
冰冰儿1911,3月16日 22:47,肯定的
青菜汤可以加洋芋吗,3月16日 22:27,当我不小心听到这个歌我就想起了前女友手机铃声卧槽刚分手那个时候我也很绝望不想听到这个歌可是过了很久我再一次听见这个歌说不出来感觉
今晚不熬夜丶-,3月16日 21:56,想你了。
云村村民161948363370045,3月16日 21:46,好听
爱比卡,3月16日 20:15,我们几年以前就在一起过，可那时候的我年少轻狂 不懂珍惜 这次她主动回来了我不余遗力的倾心对她 可感觉变了 一切都变了 她不再是那个她 而且感觉也是那个感觉
凉暮月_,3月16日 20:11,我的终点一直是你的身边
阿冯睡不醒,3月16日 19:28,我遇到了一个男孩子 他是名 jun人 我们相隔2000多公里 虽然以后还有很多路要走 但这一路光荣且艰巨 等他的这条路我从未想过退缩 希望有一天他在外面觉得我在家等他也是件不错的事情 换句话说我也想成长为他的依靠 如果有一天我们结婚了 我希望这首歌我能亲手弹给他听 这条说说也会成为我们的见证
阿冯睡不醒,3月16日 19:18,加油，成功上岸
南墙_HuGh,3月16日 18:29,“我在山东省祝娜娜米生日快乐，愿你成为自己的太阳，活成自己曾经渴望的模样。”
好想她wbj,3月16日 18:13,傻得
云中风锋,3月16日 18:11,"相知相爱
相伴相守
这一生
足矣"
A最初的那份情_,3月16日 18:10,结婚之前我先替你试试水看看你老婆行不行
牵我的手-H,3月16日 17:51,我们以后会结婚吧 你会娶我吧 我们会有个小韩吧 会一起去接他放学吧 会有一个属于我们的家 对吧杰
某yue-,3月16日 16:12,我爱潍坊
Mr-赵YH,3月16日 16:10,我当然幸福了 因为你没有纠缠不清的前任 没有暧昧不清的男生 更没有复杂的圈子 你的心里除了家人就是我了
浅苍生,3月16日 15:27,来自重庆，祝周海波生日快乐
起风了wzy520,3月16日 15:16,给你一个单
____该用户不存在____,3月16日 15:08,打卡第十六天
过了这个夜,3月16日 15:07,有
共心2110,3月16日 14:27,勇敢一次吧
娜娜吃不饱-_,3月16日 14:21,我要释怀了。再回头我就该死
一见钟情呀,3月16日 14:13,0
忘川_4lTo,3月16日 14:10,。
绘小深,3月16日 13:43,一直都是我的电话铃声
李李李ddd,3月16日 13:20,3.6号的凌晨和她分手了也没有很遗憾也没有很不舍 最多的就是不甘 要是咱俩一样大多好 要是咱俩在一块上学多好哈哈你给我的那盒煊赫门我一直留着一根前天刚抽了 那也是对你最后的思念 现在有意无意的还是总想起你你现在在哪过的怎么样 有没有受疫情的困扰 有没有跟别的男人聊天哈哈都不重要了祝我们安好
是渺小星辰,3月16日 12:56,祝我们都可以娶到或嫁到自己心爱的人
卢姆教授,3月16日 12:43,忘不掉就娶了她
卢姆教授,3月16日 12:43,我想娶贾欣悦，你们感觉行吗？
任重而道远z,3月16日 12:28,曲秋池 你回来好不好 求你啦
郎鑫雨,3月16日 12:23,加油
郎鑫雨,3月16日 12:23,听了两年啦
递给你我的耳机,3月16日 12:07,来日方长 我总会去见你的
要过N2啊,3月16日 11:42,来自浙江 祝周海波生日快乐
与爱同凋零,3月16日 11:33,开心的事要分享给有趣的人
小威police,3月16日 11:15,第十天
陪你朝朝暮暮_,3月16日 10:35,这首歌是我很喜欢的女孩子推荐的.虽然只谈了很短很短一段时间可是我久久无法释怀.好想爱她还有被她爱.如果能结婚这首歌一定会出现在婚礼现场单曲循环.
小悦悦得宠着,3月16日 10:12,生日快乐
听首费烟的,3月16日 10:07,可以坚持啊兄弟
丶万色星辰,3月16日 09:52,喜欢一个女孩子，可是她说她很难喜欢上一个人，不过平时聊天也还算正常，我该坚持吗？
1只小鱼干,3月16日 09:19,好
给彭彭摘星星,3月16日 09:19,@1只小鱼干 希望你开心
给彭彭摘星星,3月16日 09:18,@1只小鱼干
嗯fr,3月16日 08:52,来自山西省 祝周海波生日快乐
芓纭,3月16日 08:49,2733
艾瑞巴蒂PPP,3月16日 07:30,来自湖北省，祝周海波生日快乐
那年十四__DLN,3月16日 07:28,忘不了段丽娜
森森不寂寞,3月16日 03:49,出自莫泊桑吧
1沫a-,3月16日 03:29,我可能脆弱的一句话就泪流满面 有时也发现自己咬着牙走了很长的路.
不吃比巴卜o,3月16日 02:31,继续像以前那样冷漠吧 别让我看见你的一丝好 我还要考大学
不吃比巴卜o,3月16日 02:29,见面的每一刻我都好难过
不吃比巴卜o,3月16日 02:29,别透露出爱我的痕迹了 我想忘记你了 让我缓缓吧
记忆深处哈哈哈,3月16日 01:48,有因为莎头过来的吗[多多可怜]
沉溺猫,3月16日 01:45,专属
难免也会失眠-,3月16日 01:44,什么时候才可以回到我的身边啊
难免也会失眠-,3月16日 01:44,我好想你…
难免也会失眠-,3月16日 01:43,生日快乐
难免也会失眠-,3月16日 01:42,只要稍微和女孩子聊聊天 她都会过来问个底朝天 真的让我喘不过气来 就在昨天 我们闹的挺凶的 不过问题不大 我们和好了 可是和好后 我发现我们变得陌生了 不能说你哪里变了吧 这或许就是渐行渐远了吧 不出所料 今天就今天 我们彻底结束了 我很后悔 我不该把快手关于你的作品全私密
难免也会失眠-,3月16日 01:42,更不该在你生气的时候对你发脾气 我真的知道错了
难免也会失眠-,3月16日 01:39,2021.6.30我和她在一起了 刚开始我对她没什么感觉 就抱着试一试的态度和她在一起 可是慢慢的慢慢的 我发现我好喜欢这个女孩子 真的就离不开了 满眼都是她 然后又过了好久 我们经常吵架 就分手了 身边的朋友都说她作 可是我还是捂着耳朵去跟她在一起 她很粘人 很喜欢吃醋 只要稍微和女孩子
-万事坎坷意难平,3月16日 00:47,好想jgx
-万事坎坷意难平,3月16日 00:46,加油哦
清炖小白,3月16日 00:36,在有些瞬间，就突然奢求可以和他一辈子了
啦-啦啦-啦啦啦-啦啦啦啦,3月16日 00:20,生日快乐啊
窝在云村晚抑云,3月16日 00:18,来自云南，祝周海生日快乐
Lo1s洛神,3月16日 00:17,忘了吧
风吹不到那片海,3月16日 00:07,希望碰到难关的时候 能是它的对手
东城日落,3月15日 23:49,想肖禹则了
H绣球花,3月15日 23:46,我们似乎也没有天大的矛盾 只是滞留在某个夜晚 从此再也没能参加与对方的日日夜夜
岳岳px,3月15日 23:29,加油
____该用户不存在____,3月15日 23:27,来晚了，打卡第十五天
和你在云雾里a,3月15日 23:21,来自新疆，祝周海波生日快乐
孙梦佳_rJN9,3月15日 23:17,希望单招能过加油加油
买不起咸菜,3月15日 23:17,不好意思打扰各位了，有个女孩马上就要过生日了，我想为她准备一个特殊的祝福，所以我策划了一个方案，看到我这条评论的小伙伴，请在下面回复
又要错过远了吗,3月15日 22:48,会好起来的
雨夜里x,3月15日 22:40,一直在听
Peccatoche1,3月15日 22:39,时间过得太漫长 恍惚间我好像愈发的迷茫 孤身一人的感觉好像又来了 什么时候才能成长呢
老余怕热,3月15日 22:35,阴桃花
a-婷的,3月15日 22:20,田玉婷我爱你
晚安小甜涵,3月15日 22:16,我想我的涵了这是她最喜欢的歌.
来一杯拿铁ya,3月15日 22:09,男孩要找一个自己爱的，女孩要找一个爱自己的
Catchy0406,3月15日 21:59,时间会验证我多爱你呀
挽住时光0326,3月15日 21:47,有的呀
朱总正宫,3月15日 21:28,五年后，我要跟zqx结婚了，我再回来！
Archive航,3月15日 21:13,骗子！！
忘川_______y,3月15日 20:29,可
眉间雪寄半生,3月15日 20:27,那个曾经让我一想到就心颤的女孩子 你还好吗
_放个屁给你吃,3月15日 20:06,好吧
爱笑123-,3月15日 19:30,今天是2022年3月15日，晚自习第二节课，我听着歌，戴着而耳机，心里在想以后什么样的人才会来到我身边，真爱才是必杀技，
冯琬怡,3月15日 19:23,你可以骗我一百次 我也可以假装不知道一百次 但你要知道 我只信你一次
一直在等你熹熹,3月15日 18:26,"酒是个好东西啊！！
李白喝醉了能写诗。
武松喝醉了能打虎。
别问我喝醉了能干啥。
我喝醉了，看谁都是她。。。
哈哈哈哈哈哈。"
wyii1015,3月15日 18:09,把这首用在我女儿身上
A-205,3月15日 17:35,F最喜欢的一首歌
A-205,3月15日 17:33,喜欢这首歌两年了 听过最多次数的也是这首歌
氿云伴--,3月15日 17:27,青春啊 怎么能忘
11馨_rG26,3月15日 17:07,回来吧 我想你了.
氿云伴--,3月15日 16:53,今天翻出来 回忆回忆
才睡醒--,3月15日 16:10,恭喜
才睡醒--,3月15日 16:09,好 祝你也祝我
爱睡觉的Tom,3月15日 16:08,我在探探喜欢上了一个女孩子，他比我大四岁，但是我感觉年纪不是问题，我们离的很近，我们要见面了，希望我可以成功，正如这首歌说的，“”时间会证明我多爱你呀”
才睡醒--,3月15日 15:59,会的
最美的时光jj,3月15日 15:27,他走了
空气真甜_,3月15日 14:46,也很想被爱呀
才睡醒--,3月15日 14:18,有
才睡醒--,3月15日 14:18,恭喜恭喜
吃个屁看看,3月15日 14:03,
吃个屁看看,3月15日 14:03,@_放个屁给你吃 学学
天呐200731,3月15日 13:32,来自安徽 祝周海波生日快乐
馮曉姢-,3月15日 12:37,我等他回来.
小威police,3月15日 12:00,第九天
宇智波鑫鑫,3月15日 11:48,时间会验证我多爱你呀 就这样静静的陪着你长大.
宇智波鑫鑫,3月15日 11:45,放下了嘛！
许个愿_jnvU,3月15日 11:26,距离毕业还有89天 等我毕业后 我再来 希望别沉下去了 中考加油
许个愿_jnvU,3月15日 11:25,恭喜🎉
在路上_MH2D,3月15日 11:18,今天是和北在一起的第63天
我在人间凑数的日子_63WX,3月15日 10:40,好呀
我先回家睡觉辽,3月15日 10:17,恭喜🎉
小心欧迪卡,3月15日 09:42,有点像做我老婆好不好的曲😅
狂热STAR,3月15日 09:36,喝茶可睡不着觉了
北上阿拉斯加_,3月15日 09:07,我只是做过跟你前任男朋友做过一样的事而已，你也只是把他的影子放在了我身上而已
hdhcyvyvh,3月15日 08:41,一起上岸
hdhcyvyvh,3月15日 08:41,恭喜恭喜
manman的浪_,3月15日 08:10,收到🌹
娜娜吃不饱-_,3月15日 05:50,宁，对不起。这次可能真的没有以后了。
董兮儿,3月15日 05:21,笨蛋 我还在哦
sun阿狗,3月15日 05:12,来自刚果金 祝周海波生日快乐
丨丶你还好吗,3月15日 03:16,“在追逐月亮的途中 我也被月光照亮过”
阿茶_查理理,3月15日 03:07,时间会验证我多爱你呀
Hello彭_,3月15日 02:18,一个人挺好 无非就是自由中带点孤独。
时光NaNa,3月15日 02:00,猛的发现 民谣歌曲晚上听 感觉很不一样(很久很久没熬夜了 怪哉)
世人眼中一场,3月15日 01:48,以前两个人听 现在一个人听
小陈理智,3月15日 01:39,@今天超级喜欢Y
听慢歌_wz6O,3月15日 01:02,留在彼此身边吧 共患难 共进退 无论遇到什么风风雨雨都一起走
-wink静静,3月15日 00:37,"只有频率相同的人，
才能看到彼此内心深处，
不为人知的温柔。
理解你的山河万里，
尊重你的不同选择。 "
狙击少女a-,3月15日 00:04,你闯进了镜头，我按下了永远.
李继实,3月15日 00:04,确实 缺乏安全感的无论行动还是言语上都会看的很重要 时刻表达爱意何尝不是件浪漫的事哈哈哈
卢凯旋旋,3月14日 23:56,恭喜🎉🎈🍾️
卢凯旋旋,3月14日 23:55,OK
忘记一七年的心动,3月14日 23:55,他以后会是别人的丈夫 别人的父亲 但他永远都会是我的少年 他永远在我的记忆里温温柔柔闪闪发光 他不会发福 不会变老 他永远在我的记忆里 对着我笑颜如花 就像那一年一样。
可可里小小小小小姐,3月14日 23:54,是当初你说 时间会告诉我 你有多爱我 可如今 你坚决 果断 仿佛在告诉我 喜欢可以装出来 入了迷的是我
布说晚安,3月14日 23:49,@卢凯旋旋 恭喜人一下
许同学_FU,3月14日 23:48,有
迎宝y,3月14日 23:31,时间会证明我多爱你啊
苏秦Su7n,3月14日 23:27,崔琳菲，分手两年，再复合一个月，在分手，还会再见吗
So-important-Q桑,3月14日 23:25,來自臺灣，祝願周海波生日快樂🎂
棉花糖_iaT,3月14日 23:21,"一个人听，感觉好孤独。
也许是不太习惯这种感觉了吧！"
别为爱困扰_wxr,3月14日 23:18,我太没安全感了 所以只能靠发脾气看到你哄我的样子 我才能真的感觉到你是喜欢我的 对不起 让你无缘无故承受太多情绪
你好我叫曾经,3月14日 23:12,恭喜
iqpqpi,3月14日 22:05,好好生活吧 怀念不一定见面 喜欢不一定在一起 每一种距离和遗憾都有它的存在的意义.
帥帥_DDOB,3月14日 21:45,找我谈个恋爱吧
帥帥_DDOB,3月14日 21:45,祝福你
你午睡了嘛_丶,3月14日 21:31,我的初恋要是肯为我这样 我大概已经把她娶回家了。她很听妈妈的话 她没有错 错的大概是我吧
你午睡了嘛_丶,3月14日 21:24,我的温柔是你的专属啊！
卢佳轩er,3月14日 21:08,@阿龙超凶哒
岳飞_CmTb,3月14日 21:07,恭喜
谦崽之爱,3月14日 20:55,沾沾喜气希望他回来找我吧
豪豪的baby,3月14日 20:55,恭喜恭喜沾沾喜气
胖胖的心动,3月14日 20:53,来自四川 祝周海波生日快乐！
A陈meng,3月14日 20:47,他是不是就是断不了和前任的联系
初心不变77,3月14日 20:28,单曲循环 越听越好听
初心不变77,3月14日 20:28,单曲循环
猪猪侠-普拉斯,3月14日 19:56,来自江苏 祝周海波生日快乐
菁杨ya,3月14日 19:49,想遇到可以为我暖一杯茶的人
娜娜吃不饱-_,3月14日 19:36,几年听起来挺吓人的，其实风一吹就什么也不剩了
起风了你还不回来麽,3月14日 18:37,一年了 羡慕
如此而已180120,3月14日 18:11,来自四川 祝周海波生日快乐
你不是那个谁啊,3月14日 17:47,嗯
那份情_w,3月14日 17:44,@她就不愧疚_ArFk 宝宝爱要及时 别总说以后下次
你不是那个谁啊,3月14日 17:37,那当然 首先得漂亮
阿信喝雪碧,3月14日 17:31,最后最后还是他放开了手
小威police,3月14日 17:07,补一天，第八天
氤氲晕晕,3月14日 16:42,留个脚印吧 三月的第一个周 真的超幸福 短短一周时间但是足够刻苦铭心 还是会心里想着等你啊
氤氲晕晕,3月14日 16:33,有
豆丁仔儿爱蹦哒,3月14日 16:07,围城被破了一个口，那缕叫啧啧的光照进来了。
key-陳,3月14日 15:47,你现在都在心里纠结到底该选谁，这说明你对谁都不是特别喜欢
你眼里有星星和月,3月14日 15:30,我总是会翻翻以前的照片 想想以前的事 可这一次又一次的起起落落 快让我忘了自己是谁
少女味的橙子Y,3月14日 14:22,两年了[西西疑问]
零落-UFO,3月14日 14:21,不把我闸总放在眼里？[西西机智]
嘻嘻-喵,3月14日 14:01,分开这么久，我没有爱上别人，这是我对你的诚意，或许也是对我的惩罚
惊鸿__tiLX,3月14日 13:35,无所谓啊 一个人也很潇洒
viviuki,3月14日 12:27,没有勇气再去找他了
帕罗西汀_Re,3月14日 12:15,加油
星痕-心痕,3月14日 11:24,"关于这首歌你脑海里显示的主人公形象
A帅哥
B宠娃奶爸
C老父亲
D钝角
E萝莉控
F脑袋里一片空白"
爱上鱼的猫1,3月14日 10:27,她最喜欢的歌，我陪她一起听
弥嘻嘻嘻,3月14日 10:23,"2022.3.14
希望未来能用自己学到的知识帮助别人帮助自己照顾家人。
也感谢遇到的两小只，看你们的直播带给我很多欢乐，祝你们一辈子欢欢乐乐不散场。"
芸翳yy,3月14日 10:05,我该怎么办
干净已酒,3月14日 09:50,0
干净已酒,3月14日 09:50,0
心事不想说,3月14日 09:14,喜欢看别人的故事
____该用户不存在____,3月14日 08:31,今天应该十四天了
____该用户不存在____,3月14日 08:30,打卡第十二天和十三天
____该用户不存在____,3月14日 08:30,这两天太忙了，忘记打卡了
曼莉2112,3月14日 07:52,太爱了，太爱了
三太子_A,3月14日 06:01,去吧
Palpitatenaa,3月14日 04:45,“你不停的翻着评论，只是为了找到那个能替你说出故事的人对吗陌生人”
太过深沉的东西大概只适合藏心里,3月14日 04:14,世间大雨滂沱，你要藏好软弱，万物苟且而活，无人为你背负更多，莫嫌前路蹉跎，人生本就曲折。
Y_06l,3月14日 02:35,祝平安 不祝幸福
韵韵是晕晕,3月14日 01:20,大半夜看到这评论破防了
Macarena8023,3月14日 01:18,谁知道呢
LvemiL9_LYT_,3月14日 00:17,亲爱的你让我着迷 或许是遇到问题时你帮我解决 陪我走下去的决心 或许是你给我那种踏踏实实的感觉 或许是对我无微不至的照顾 或许是我生气你马上道歉的态度 或许是我闹脾气你笑嘻嘻的看着我 我不懂 我太幸运了 这么好的男人被我拿下了.
LvemiL9_LYT_,3月14日 00:17,词不达意不能顺我意 至始至终我从未想过离开你.
晴晴知道笨,3月14日 00:06,我试过分开，可他天天酗酒抽烟，一喝就是通宵，我害怕
没时间看烟花,3月13日 23:52,能听啊
manman的浪_,3月13日 23:49,但是有人就可能喜欢听情话来巩固在他心中的地位吧
killovvi,3月13日 23:43,不会的
JIAING-825,3月13日 23:28,X 如果的话 我们应该会在一起很久的
1111ZWX,3月13日 23:11,这歌你能听吗 我听就是播放失败
种片玫瑰,3月13日 23:02,其实我愿意嫁给你的，真的。
黎吧啦__-,3月13日 22:50,是疫情回来了。网课回来了。还是老天爷又安排了别的人。
琪琪是宝贝嘛,3月13日 22:40,2021年3月16日那是我们最后一次联系 因为我的无理取闹 我再也遇不到像他那么好的男孩子了
嘉-遇,3月13日 22:29,大概是吧。所以我们在一起之后，他开始对其他女生分享生活了，而不是对我，还还怪我疑心病重，可我们也是从不断的聊天开始的呀。
Raizel11,3月13日 22:25,24 25的年纪 身不由己的努力 最终换来的会是什么呢
刘丽影_,3月13日 22:22,可惜你不是我 你不知道我曾经听了多少人的意见 却还是捂着耳朵去爱你
刘丽影_,3月13日 22:21,我心里一直有个坎过不去 总感觉我和你的关系还没彻底结束 说不定哪天你就会回来 告诉我你也舍不得我.
泡泡糖里有小猪佩奇,3月13日 22:10,我喜欢的男孩子最后一个字也是昊
梦起江南,3月13日 22:09,人总会成长的
w佳_7,3月13日 22:03,娶王佳琦回家
A陈meng,3月13日 21:34,今天他又惹我生气了
周扬青v,3月13日 21:17,我想见，真的很想见
是但求其起个名字吧,3月13日 21:13,11111
周扬青v,3月13日 21:10,好难过他要离开了
周扬青v,3月13日 21:10,当陪伴成为依赖，离开就像戒毒。
周扬青v,3月13日 21:09,前提是有点喜欢，比如他
久Anne,3月13日 20:52,现在才发现我错了，你能不能回头看看，原谅我一次
要罐装的哈,3月13日 20:52,17
娜娜吃不饱-_,3月13日 20:46,宁，还记得吗，这是我最喜欢的歌
失望攒到极限,3月13日 20:24,祝自己高考顺利
今天想潇潇了没,3月13日 20:16,我知道我们不适合 我想多陪你一段路.
原味小范yy,3月13日 20:16,会的 前提那个男生是她喜欢的类型，不喜欢的是不会的。
梦久_v92o,3月13日 19:56,哈哈，真的哎[多多大笑]
琬琪_ZikF,3月13日 19:33,会的
